id,side,price,qty
198,BUY,103,28
199,SELL,105,63
200,SELL,95,85
201,SELL,97,54
202,SELL,100,70
203,BUY,96,73
204,SELL,105,97
205,BUY,102,33
206,SELL,103,40
207,SELL,99,44
208,BUY,95,26
209,SELL,97,97
210,SELL,104,43
211,BUY,102,41
212,SELL,96,92
213,SELL,99,26
214,SELL,101,10
215,BUY,97,67
216,BUY,98,64
217,BUY,100,74
218,BUY,101,44
219,BUY,103,42
220,SELL,97,57
221,SELL,96,76
222,SELL,95,35
223,SELL,96,5
224,SELL,95,32
225,BUY,105,71
226,SELL,100,2
227,SELL,103,50
228,BUY,100,35
229,SELL,100,44
230,BUY,99,5
231,BUY,105,64
232,BUY,95,27
233,SELL,95,63
234,BUY,100,51
235,BUY,100,66
236,BUY,96,62
237,SELL,105,65
238,BUY,95,87
239,BUY,102,95
240,BUY,101,68
241,SELL,101,65
242,SELL,100,82
243,BUY,104,95
244,BUY,99,83
245,BUY,102,91
246,SELL,97,28
247,SELL,97,11
248,SELL,95,4
249,SELL,101,69
250,SELL,95,66
251,SELL,99,85
252,BUY,95,35
253,BUY,97,29
254,SELL,96,70
255,BUY,98,63
256,BUY,104,4
257,BUY,99,81
258,BUY,98,55
259,SELL,99,76
260,BUY,103,58
261,BUY,103,42
262,SELL,99,26
263,BUY,101,35
264,BUY,105,57
265,BUY,97,43
266,BUY,103,74
267,BUY,97,11
268,SELL,104,54
269,BUY,100,83
270,SELL,98,30
271,BUY,96,39
272,SELL,95,96
273,BUY,104,10
274,SELL,98,96
275,BUY,102,96
276,SELL,101,50
277,BUY,95,45
278,SELL,98,61
279,SELL,101,68
280,SELL,103,95
281,BUY,103,79
282,SELL,96,94
283,SELL,105,6
284,BUY,101,6
285,SELL,103,89
286,BUY,98,71
287,SELL,105,15
288,BUY,103,84
289,BUY,104,11
290,BUY,95,43
291,BUY,97,8
292,SELL,104,90
293,BUY,96,9
294,BUY,95,24
295,BUY,101,38
296,BUY,99,89
297,BUY,97,95
298,BUY,105,60
299,BUY,98,38
300,BUY,95,49
301,BUY,99,56
302,BUY,99,25
303,BUY,98,12
304,SELL,100,26
305,SELL,99,47
306,BUY,95,75
307,SELL,103,12
308,BUY,102,75
309,BUY,102,59
310,SELL,105,41
311,SELL,100,29
312,SELL,104,53
313,SELL,99,97
314,BUY,95,98
315,BUY,101,5
316,SELL,104,5
317,BUY,105,100
318,BUY,95,26
319,BUY,102,97
320,SELL,100,17
321,BUY,97,70
322,SELL,99,100
323,BUY,102,59
324,SELL,104,74
325,SELL,105,29
326,BUY,105,6
327,BUY,99,46
328,SELL,101,34
329,SELL,96,19
330,BUY,100,39
331,SELL,97,59
332,SELL,95,37
333,BUY,97,99
334,SELL,102,4
335,BUY,98,31
336,SELL,103,61
337,BUY,97,17
338,SELL,105,8
339,BUY,105,95
340,SELL,102,59
341,BUY,105,42
342,SELL,105,88
343,BUY,101,5
344,SELL,95,42
345,SELL,103,82
346,SELL,105,99
347,SELL,99,60
348,BUY,99,40
349,BUY,104,85
350,BUY,104,7
351,SELL,95,42
352,SELL,98,2
353,SELL,95,87
354,BUY,103,54
355,BUY,103,100
356,BUY,101,59
357,BUY,102,95
358,BUY,104,38
359,SELL,97,46
360,SELL,96,26
361,BUY,98,61
362,SELL,97,88
363,BUY,103,62
364,SELL,98,27
365,SELL,95,68
366,SELL,100,48
367,BUY,104,53
368,SELL,104,82
369,BUY,105,57
370,SELL,104,80
371,SELL,101,14
372,SELL,95,43
373,BUY,103,63
374,BUY,102,81
375,SELL,104,14
376,BUY,95,99
377,SELL,101,59
378,BUY,99,56
379,SELL,96,91
380,BUY,98,55
381,BUY,99,79
382,BUY,99,30
383,BUY,100,87
384,BUY,105,80
385,SELL,100,93
386,BUY,100,77
387,SELL,95,46
388,SELL,105,63
389,SELL,98,33
390,SELL,101,58
391,SELL,98,8
392,BUY,96,47
393,SELL,101,16
394,SELL,96,70
395,BUY,96,19
396,BUY,98,42
397,BUY,104,48
398,BUY,102,98
399,SELL,101,20
400,SELL,95,83
401,SELL,98,28
402,SELL,96,4
403,SELL,101,13
404,BUY,100,36
405,SELL,104,37
406,SELL,100,34
407,BUY,98,4
408,SELL,103,49
409,BUY,102,9
410,BUY,104,16
411,BUY,99,7
412,SELL,98,87
413,BUY,95,75
414,BUY,97,99
415,SELL,100,38
416,BUY,100,24
417,BUY,103,37
418,BUY,100,73
419,BUY,95,4
420,SELL,97,14
421,BUY,102,90
422,BUY,100,75
423,BUY,95,11
424,BUY,99,36
425,BUY,99,25
426,SELL,97,74
427,SELL,97,3
428,BUY,98,85
429,SELL,95,33
430,BUY,96,24
431,BUY,98,60
432,SELL,102,36
433,BUY,102,50
434,SELL,95,59
435,BUY,103,59
436,BUY,103,59
437,SELL,101,13
438,SELL,98,34
439,SELL,104,65
440,BUY,101,25
441,SELL,100,99
442,SELL,101,94
443,SELL,95,11
444,SELL,96,37
445,SELL,100,17
446,BUY,97,9
447,SELL,103,18
448,SELL,104,85
449,SELL,95,53
450,SELL,99,70
451,BUY,105,12
452,BUY,99,58
453,BUY,105,87
454,SELL,103,98
455,SELL,100,18
456,BUY,102,83
457,BUY,102,56
458,BUY,101,48
459,SELL,104,77
460,SELL,97,97
461,SELL,102,43
462,SELL,100,74
463,SELL,100,12
464,BUY,101,77
465,SELL,95,59
466,BUY,96,94
467,SELL,98,54
468,BUY,95,37
469,SELL,99,14
470,BUY,95,55
471,BUY,97,33
472,BUY,103,9
473,SELL,96,69
474,SELL,103,12
475,BUY,100,48
476,BUY,99,80
477,SELL,96,93
478,BUY,104,75
479,BUY,99,13
480,BUY,103,100
481,BUY,97,19
482,SELL,95,93
483,BUY,102,58
484,SELL,104,79
485,SELL,104,80
486,BUY,97,80
487,SELL,104,17
488,SELL,103,24
489,BUY,101,53
490,BUY,98,32
491,BUY,101,40
492,BUY,103,46
493,SELL,102,38
494,BUY,100,63
495,SELL,100,75
496,SELL,100,58
497,SELL,98,90
498,SELL,99,54
499,BUY,95,91
500,SELL,101,55
501,SELL,99,94
502,SELL,101,74
503,SELL,102,14
504,SELL,103,88
505,BUY,100,54
506,BUY,104,58
507,BUY,105,16
508,BUY,98,71
509,SELL,103,75
510,SELL,95,21
511,BUY,102,77
512,SELL,104,76
513,SELL,96,83
514,BUY,96,38
515,BUY,100,13
516,BUY,99,51
517,BUY,100,15
518,SELL,97,41
519,BUY,103,73
520,SELL,102,60
521,BUY,101,55
522,BUY,97,60
523,SELL,104,19
524,BUY,104,35
525,BUY,97,41
526,SELL,100,29
527,BUY,101,16
528,BUY,101,14
529,BUY,96,62
530,SELL,95,73
531,BUY,101,94
532,SELL,101,92
533,BUY,103,93
534,SELL,102,66
535,SELL,103,58
536,SELL,101,7
537,SELL,95,74
538,SELL,105,85
539,BUY,105,46
540,SELL,96,24
541,BUY,96,84
542,SELL,96,84
543,BUY,98,87
544,SELL,100,23
545,BUY,101,40
546,SELL,95,75
547,SELL,97,81
548,BUY,95,61
549,SELL,96,40
550,SELL,100,87
551,BUY,105,35
552,SELL,98,49
553,BUY,105,46
554,BUY,97,4
555,SELL,105,15
556,SELL,96,58
557,SELL,96,42
558,SELL,105,32
559,SELL,103,59
560,SELL,101,23
561,SELL,97,67
562,BUY,96,98
563,BUY,100,15
564,BUY,99,87
565,SELL,100,100
566,SELL,100,30
567,BUY,98,7
568,SELL,103,43
569,SELL,103,90
570,SELL,97,47
571,SELL,101,4
572,SELL,100,84
573,BUY,101,7
574,SELL,103,72
575,SELL,100,53
576,BUY,99,49
577,SELL,100,56
578,BUY,96,11
579,SELL,98,87
580,SELL,105,76
581,SELL,97,28
582,BUY,102,53
583,SELL,103,3
584,BUY,96,84
585,BUY,104,66
586,SELL,95,56
587,SELL,97,24
588,SELL,102,51
589,SELL,101,11
590,SELL,103,57
591,SELL,104,66
592,BUY,97,73
593,SELL,103,25
594,BUY,102,61
595,BUY,103,84
596,BUY,99,95
597,BUY,96,21
598,SELL,98,33
599,BUY,95,2
600,BUY,95,74
601,SELL,104,3
602,SELL,96,88
603,BUY,102,43
604,BUY,104,92
605,BUY,101,35
606,SELL,97,83
607,SELL,98,60
608,SELL,97,84
609,BUY,98,41
610,BUY,101,37
611,SELL,104,30
612,SELL,105,98
613,BUY,103,15
614,SELL,104,57
615,SELL,105,90
616,SELL,103,19
617,SELL,100,3
618,BUY,97,75
619,BUY,102,64
620,SELL,97,22
621,SELL,102,84
622,SELL,105,14
623,BUY,104,18
624,BUY,97,69
625,SELL,104,92
626,BUY,96,82
627,BUY,100,28
628,SELL,101,41
629,BUY,100,83
630,BUY,97,11
631,SELL,96,14
632,SELL,104,27
633,BUY,103,60
634,SELL,101,64
635,BUY,100,18
636,BUY,105,84
637,SELL,99,39
638,BUY,100,43
639,SELL,98,17
640,BUY,103,19
641,SELL,95,61
642,BUY,97,7
643,SELL,104,29
644,SELL,98,92
645,BUY,102,30
646,BUY,101,95
647,SELL,99,67
648,BUY,105,14
649,BUY,100,22
650,SELL,95,54
651,SELL,96,60
652,BUY,95,85
653,SELL,105,60
654,SELL,98,63
655,BUY,100,11
656,SELL,95,36
657,BUY,99,50
658,BUY,102,60
659,SELL,100,25
660,SELL,104,8
661,BUY,95,70
662,BUY,97,1
663,BUY,96,37
664,SELL,96,81
665,BUY,105,14
666,BUY,105,70
667,SELL,100,19
668,SELL,100,96
669,BUY,103,74
670,BUY,103,76
671,BUY,102,70
672,BUY,104,99
673,SELL,104,49
674,BUY,97,70
675,BUY,95,95
676,BUY,95,5
677,BUY,101,93
678,BUY,96,56
679,BUY,100,92
680,SELL,95,13
681,BUY,103,30
682,SELL,105,12
683,BUY,99,95
684,BUY,100,75
685,BUY,95,85
686,SELL,98,53
687,BUY,102,4
688,BUY,101,37
689,SELL,101,13
690,SELL,95,89
691,BUY,100,34
692,SELL,102,41
693,SELL,101,32
694,BUY,100,54
695,BUY,102,32
696,BUY,101,53
697,BUY,99,62
698,BUY,97,42
699,SELL,100,88
700,BUY,95,1
701,BUY,97,53
702,SELL,105,94
703,BUY,95,100
704,SELL,98,6
705,BUY,95,41
706,SELL,100,48
707,BUY,101,88
708,SELL,105,40
709,BUY,96,42
710,SELL,99,53
711,BUY,103,24
712,SELL,96,47
713,SELL,98,29
714,BUY,98,72
715,SELL,101,5
716,SELL,95,92
717,BUY,95,43
718,SELL,99,40
719,BUY,96,22
720,BUY,105,80
721,BUY,97,9
722,BUY,99,99
723,BUY,104,95
724,BUY,100,91
725,BUY,105,17
726,BUY,105,7
727,SELL,99,95
728,BUY,102,24
729,BUY,104,52
730,SELL,97,5
731,SELL,99,23
732,SELL,97,96
733,BUY,104,36
734,BUY,95,63
735,BUY,97,89
736,BUY,105,60
737,BUY,100,18
738,SELL,99,52
739,BUY,100,70
740,BUY,96,90
741,BUY,100,23
742,BUY,97,75
743,BUY,95,60
744,BUY,101,87
745,SELL,100,88
746,SELL,97,28
747,SELL,100,89
748,SELL,105,86
749,BUY,95,81
750,SELL,102,94
751,BUY,103,9
752,SELL,99,26
753,SELL,95,26
754,BUY,102,5
755,SELL,100,9
756,BUY,97,11
757,BUY,104,8
758,BUY,104,7
759,SELL,104,49
760,BUY,101,91
761,BUY,101,35
762,BUY,102,55
763,BUY,104,27
764,BUY,104,53
765,BUY,104,66
766,SELL,104,16
767,BUY,96,71
768,SELL,104,24
769,BUY,105,69
770,SELL,101,70
771,BUY,97,16
772,BUY,104,97
773,BUY,100,3
774,BUY,104,1
775,SELL,104,34
776,SELL,103,91
777,SELL,95,82
778,BUY,104,76
779,BUY,97,1
780,SELL,98,9
781,BUY,98,99
782,BUY,101,12
783,SELL,99,64
784,SELL,100,82
785,BUY,96,11
786,SELL,103,2
787,BUY,99,97
788,BUY,98,40
789,BUY,96,94
790,BUY,96,79
791,BUY,96,69
792,BUY,95,95
793,SELL,96,71
794,BUY,95,71
795,BUY,100,35
796,SELL,101,8
797,SELL,104,88
798,BUY,105,68
799,BUY,99,75
800,BUY,96,60
801,BUY,99,3
802,SELL,95,83
803,SELL,99,49
804,BUY,103,26
805,BUY,95,45
806,SELL,98,47
807,BUY,105,43
808,SELL,99,86
809,SELL,100,80
810,BUY,102,30
811,SELL,104,9
812,BUY,102,24
813,BUY,96,28
814,BUY,105,97
815,SELL,95,44
816,BUY,105,91
817,SELL,104,64
818,BUY,99,77
819,SELL,99,99
820,SELL,99,33
821,BUY,102,23
822,BUY,97,21
823,SELL,104,66
824,BUY,99,57
825,BUY,100,48
826,BUY,105,16
827,SELL,97,87
828,SELL,103,16
829,BUY,99,85
830,BUY,103,2
831,BUY,103,14
832,SELL,95,92
833,BUY,105,62
834,SELL,103,47
835,SELL,95,12
836,BUY,96,61
837,BUY,97,44
838,BUY,97,23
839,SELL,96,7
840,BUY,101,33
841,SELL,101,80
842,SELL,98,99
843,SELL,96,2
844,SELL,95,69
845,SELL,99,48
846,BUY,101,73
847,SELL,102,70
848,BUY,104,96
849,BUY,104,4
850,BUY,100,75
851,SELL,96,25
852,SELL,105,58
853,SELL,95,50
854,SELL,101,22
855,BUY,98,56
856,BUY,95,95
857,SELL,95,52
858,BUY,95,89
859,SELL,95,4
860,BUY,95,36
861,SELL,98,14
862,BUY,101,21
863,BUY,102,81
864,BUY,97,5
865,SELL,102,11
866,BUY,102,13
867,BUY,104,4
868,BUY,105,62
869,SELL,101,55
870,SELL,102,94
871,BUY,105,72
872,BUY,103,79
873,SELL,101,82
874,SELL,95,67
875,BUY,101,55
876,BUY,103,79
877,SELL,100,65
878,SELL,100,17
879,BUY,99,9
880,BUY,95,60
881,SELL,102,16
882,SELL,104,62
883,SELL,98,98
884,SELL,98,75
885,SELL,104,79
886,SELL,102,5
887,SELL,96,56
888,SELL,102,66
889,SELL,98,100
890,BUY,105,50
891,BUY,95,20
892,SELL,102,23
893,SELL,99,4
894,SELL,97,85
895,SELL,96,87
896,BUY,102,42
897,BUY,104,43
898,BUY,98,74
899,SELL,103,99
900,BUY,95,55
901,BUY,100,58
902,BUY,99,3
903,BUY,99,49
904,BUY,104,60
905,BUY,103,43
906,BUY,98,100
907,BUY,98,92
908,SELL,97,39
909,BUY,100,64
910,BUY,103,24
911,SELL,103,72
912,SELL,104,61
913,SELL,101,24
914,SELL,105,52
915,SELL,99,86
916,SELL,100,44
917,SELL,96,88
918,SELL,99,60
919,BUY,101,36
920,BUY,101,10
921,SELL,102,40
922,SELL,105,40
923,SELL,104,66
924,SELL,98,59
925,BUY,101,14
926,SELL,105,24
927,SELL,97,24
928,BUY,95,45
929,SELL,98,52
930,SELL,98,67
931,BUY,96,44
932,SELL,97,59
933,BUY,105,71
934,SELL,96,36
935,SELL,99,4
936,BUY,103,36
937,BUY,100,48
938,BUY,104,71
939,BUY,99,59
940,BUY,104,56
941,SELL,100,12
942,SELL,97,99
943,SELL,96,54
944,SELL,105,6
945,SELL,102,13
946,SELL,99,19
947,BUY,95,32
948,SELL,100,59
949,SELL,102,15
950,SELL,105,48
951,BUY,102,1
952,SELL,105,33
953,BUY,105,87
954,BUY,100,26
955,BUY,100,49
956,SELL,102,54
957,SELL,96,3
958,SELL,98,15
959,BUY,105,21
960,BUY,102,17
961,BUY,97,10
962,BUY,102,16
963,SELL,97,87
964,BUY,96,26
965,BUY,102,84
966,BUY,105,38
967,BUY,95,50
968,SELL,101,84
969,BUY,104,58
970,BUY,95,12
971,BUY,103,69
972,BUY,102,61
973,SELL,105,66
974,BUY,99,67
975,BUY,101,11
976,SELL,102,16
977,BUY,101,5
978,SELL,105,87
979,SELL,105,88
980,BUY,103,10
981,BUY,98,74
982,SELL,104,66
983,SELL,103,33
984,BUY,102,44
985,BUY,104,77
986,BUY,103,32
987,SELL,104,82
988,SELL,96,30
989,BUY,102,1
990,SELL,98,64
991,SELL,101,40
992,BUY,102,39
993,SELL,101,45
994,BUY,97,55
995,SELL,99,23
996,SELL,95,59
997,BUY,96,67
998,BUY,101,76
999,SELL,100,38
1000,BUY,104,96
1001,BUY,104,48
1002,BUY,95,82
1003,SELL,96,39
1004,SELL,99,53
1005,BUY,97,54
1006,SELL,101,40
1007,BUY,101,82
1008,BUY,102,72
1009,BUY,100,2
1010,BUY,97,44
1011,SELL,104,65
1012,SELL,104,96
1013,SELL,102,93
1014,SELL,95,20
1015,BUY,100,36
1016,SELL,96,17
1017,SELL,101,26
1018,BUY,98,68
1019,SELL,105,81
1020,BUY,100,59
1021,SELL,95,62
1022,BUY,102,40
1023,SELL,105,42
1024,BUY,96,53
1025,SELL,96,69
1026,BUY,96,80
1027,BUY,97,71
1028,SELL,96,80
1029,BUY,97,26
1030,BUY,105,43
1031,SELL,95,81
1032,BUY,101,38
1033,SELL,100,64
1034,SELL,105,1
1035,BUY,102,82
1036,BUY,104,60
1037,SELL,103,22
1038,BUY,101,18
1039,SELL,98,84
1040,BUY,104,77
1041,SELL,101,24
1042,SELL,103,31
1043,SELL,103,83
1044,BUY,99,68
1045,BUY,103,10
1046,BUY,101,15
1047,SELL,99,59
1048,SELL,96,24
1049,BUY,104,87
1050,SELL,97,54
1051,SELL,96,3
1052,SELL,102,24
1053,BUY,97,55
1054,BUY,97,26
1055,SELL,101,60
1056,SELL,100,15
1057,BUY,98,14
1058,BUY,102,68
1059,SELL,99,43
1060,SELL,102,73
1061,BUY,95,100
1062,SELL,96,82
1063,SELL,101,73
1064,SELL,101,91
1065,SELL,103,8
1066,SELL,95,65
1067,BUY,101,20
1068,SELL,98,37
1069,SELL,98,36
1070,BUY,95,45
1071,BUY,104,7
1072,BUY,103,7
1073,SELL,102,55
1074,SELL,104,60
1075,BUY,102,54
1076,SELL,98,46
1077,SELL,97,67
1078,SELL,105,38
1079,BUY,98,56
1080,BUY,103,45
1081,SELL,98,7
1082,BUY,101,9
1083,BUY,105,18
1084,BUY,102,76
1085,SELL,96,54
1086,SELL,96,43
1087,SELL,104,76
1088,SELL,98,31
1089,BUY,105,80
1090,SELL,105,39
1091,SELL,96,40
1092,BUY,96,3
1093,BUY,103,93
1094,BUY,100,25
1095,BUY,102,53
1096,SELL,101,26
1097,SELL,103,76
1098,BUY,96,61
1099,BUY,100,79
1100,SELL,102,7
1101,SELL,96,31
1102,SELL,97,35
1103,SELL,99,9
1104,SELL,105,24
1105,BUY,100,31
1106,BUY,99,28
1107,SELL,105,61
1108,BUY,100,17
1109,BUY,103,50
1110,BUY,105,57
1111,BUY,99,21
1112,BUY,105,40
1113,SELL,100,82
1114,BUY,99,68
1115,BUY,100,87
1116,BUY,103,15
1117,BUY,97,31
1118,BUY,95,33
1119,SELL,95,18
1120,SELL,102,23
1121,SELL,105,98
1122,BUY,102,94
1123,BUY,101,14
1124,SELL,104,32
1125,BUY,101,49
1126,SELL,101,90
1127,BUY,104,18
1128,SELL,100,96
1129,SELL,104,15
1130,BUY,99,13
1131,SELL,100,3
1132,BUY,96,24
1133,BUY,95,55
1134,BUY,105,13
1135,SELL,101,32
1136,BUY,100,88
1137,SELL,98,11
1138,BUY,102,1
1139,SELL,95,62
1140,BUY,102,37
1141,SELL,99,7
1142,BUY,103,20
1143,SELL,97,6
1144,SELL,105,76
1145,SELL,101,70
1146,SELL,105,44
1147,SELL,96,15
1148,SELL,96,79
1149,SELL,97,11
1150,SELL,102,70
1151,SELL,101,51
1152,BUY,105,23
1153,BUY,97,62
1154,SELL,98,18
1155,BUY,102,53
1156,BUY,99,73
1157,SELL,103,89
1158,SELL,99,66
1159,SELL,98,37
1160,BUY,99,49
1161,BUY,96,74
1162,SELL,103,97
1163,SELL,97,42
1164,SELL,100,42
1165,SELL,103,26
1166,BUY,103,69
1167,SELL,97,54
1168,BUY,97,33
1169,SELL,104,25
1170,BUY,105,20
1171,BUY,95,96
1172,SELL,100,38
1173,SELL,97,55
1174,BUY,99,50
1175,BUY,97,10
1176,SELL,100,13
1177,SELL,104,33
1178,SELL,103,66
1179,SELL,103,38
1180,BUY,99,86
1181,SELL,99,79
1182,BUY,104,14
1183,BUY,96,79
1184,BUY,98,95
1185,BUY,103,44
1186,SELL,97,28
1187,BUY,105,4
1188,SELL,104,79
1189,SELL,104,64
1190,SELL,102,39
1191,BUY,99,64
1192,SELL,101,89
1193,SELL,99,52
1194,BUY,96,11
1195,BUY,105,52
1196,SELL,102,5
1197,SELL,95,9
1198,BUY,102,66
1199,SELL,103,8
1200,SELL,95,4
1201,BUY,100,74
1202,SELL,98,47
1203,SELL,105,35
1204,BUY,103,95
1205,BUY,103,19
1206,SELL,96,42
1207,SELL,101,67
1208,BUY,103,7
1209,SELL,99,3
1210,SELL,95,52
1211,BUY,104,30
1212,BUY,103,23
1213,BUY,105,39
1214,BUY,97,2
1215,SELL,97,62
1216,SELL,103,7
1217,BUY,105,54
1218,SELL,95,90
1219,BUY,98,80
1220,SELL,98,48
1221,BUY,96,61
1222,SELL,101,93
1223,BUY,100,82
1224,BUY,102,16
1225,SELL,95,34
1226,SELL,105,60
1227,SELL,96,38
1228,SELL,99,56
1229,SELL,99,62
1230,SELL,105,28
1231,SELL,105,13
1232,BUY,97,50
1233,BUY,95,65
1234,BUY,98,68
1235,BUY,98,87
1236,BUY,104,26
1237,BUY,100,26
1238,BUY,103,23
1239,SELL,105,85
1240,BUY,103,56
1241,BUY,96,66
1242,SELL,96,33
1243,BUY,103,99
1244,SELL,105,54
1245,SELL,103,17
1246,SELL,96,69
1247,BUY,96,82
1248,BUY,97,49
1249,BUY,96,85
1250,SELL,103,42
1251,BUY,103,60
1252,BUY,100,62
1253,SELL,96,57
1254,SELL,102,10
1255,BUY,101,64
1256,BUY,103,44
1257,SELL,96,47
1258,BUY,95,82
1259,SELL,103,73
1260,BUY,105,28
1261,SELL,97,41
1262,BUY,103,66
1263,SELL,98,56
1264,BUY,103,82
1265,BUY,101,19
1266,BUY,98,38
1267,BUY,100,56
1268,BUY,95,85
1269,BUY,104,4
1270,BUY,103,2
1271,SELL,103,96
1272,BUY,99,68
1273,SELL,103,15
1274,BUY,98,48
1275,BUY,100,100
1276,SELL,99,39
1277,SELL,102,73
1278,BUY,104,22
1279,BUY,96,40
1280,BUY,99,1
1281,BUY,96,1
1282,SELL,101,17
1283,SELL,96,80
1284,SELL,96,41
1285,BUY,104,49
1286,BUY,102,73
1287,SELL,96,58
1288,SELL,101,71
1289,BUY,95,61
1290,SELL,102,60
1291,BUY,101,27
1292,SELL,104,33
1293,SELL,102,8
1294,SELL,95,70
1295,SELL,103,79
1296,BUY,102,21
1297,BUY,104,52
1298,BUY,99,38
1299,SELL,96,33
1300,BUY,99,24
1301,SELL,99,23
1302,SELL,101,81
1303,BUY,103,100
1304,BUY,105,30
1305,BUY,96,43
1306,BUY,101,50
1307,BUY,96,12
1308,BUY,99,100
1309,BUY,103,39
1310,BUY,101,96
1311,BUY,97,19
1312,BUY,98,98
1313,SELL,96,3
1314,BUY,95,59
1315,BUY,101,28
1316,BUY,100,93
1317,SELL,103,95
1318,SELL,97,86
1319,SELL,97,88
1320,SELL,104,47
1321,SELL,100,81
1322,SELL,100,94
1323,SELL,102,14
1324,BUY,95,5
1325,BUY,104,50
1326,BUY,99,79
1327,BUY,95,77
1328,SELL,96,23
1329,BUY,96,14
1330,SELL,103,93
1331,BUY,100,96
1332,SELL,95,29
1333,SELL,95,29
1334,SELL,97,28
1335,SELL,98,91
1336,BUY,97,98
1337,SELL,99,76
1338,SELL,99,85
1339,BUY,97,7
1340,SELL,100,86
1341,SELL,95,7
1342,BUY,104,57
1343,SELL,98,54
1344,SELL,99,78
1345,SELL,95,90
1346,SELL,95,74
1347,BUY,101,97
1348,SELL,101,89
1349,BUY,99,6
1350,BUY,99,79
1351,SELL,101,74
1352,SELL,105,98
1353,SELL,96,66
1354,BUY,97,20
1355,BUY,98,47
1356,SELL,105,95
1357,BUY,105,35
1358,SELL,96,3
1359,SELL,102,23
1360,SELL,97,9
1361,BUY,102,57
